Sample in Buffer,Sample in Window,TRIGGER,voltage_signals[15:0],parallel_word_data[15:0],DAC_send_pulse
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,SIGNED,HEX
0,0,0,05ea,17426,0
1,1,0,05ea,17426,0
2,2,1,05ea,4171,1
3,3,0,05ea,4171,1
4,4,0,05ea,4171,1
5,5,0,05ea,4171,1
6,6,0,05ea,4171,1
7,7,0,05ea,4171,1
8,8,0,05ea,4171,1
9,9,0,05ea,4171,1
10,10,0,05ea,4171,1
11,11,0,05ea,4171,1
12,12,0,05ea,4171,1
13,13,0,05ea,16684,1
14,14,0,05ea,16684,1
15,15,0,05ea,1201,1
16,16,0,05ea,1201,1
17,17,0,05ea,4804,1
18,18,0,05ea,4804,1
19,19,0,05ea,19217,1
20,20,0,05ea,19217,1
21,21,0,05ea,11332,1
22,22,0,05ea,11332,1
23,23,0,05ea,-20208,1
24,24,0,05ea,-20208,1
25,25,0,05ea,-15294,1
26,26,0,05ea,-15294,1
27,27,0,05ea,4360,1
28,28,0,05ea,4360,1
29,29,0,05ea,4360,1
30,30,0,05ea,4360,1
31,31,0,05ea,4360,1
32,32,0,05ea,4360,1
33,33,0,05ea,4360,1
34,34,0,05ea,4360,1
35,35,0,05ea,4360,1
36,36,0,05ea,4360,1
37,37,0,05ea,4360,1
38,38,0,05ea,17440,1
39,39,0,05ea,17440,1
40,40,0,05ea,4224,1
41,41,0,05ea,4224,1
42,42,0,05ea,16899,1
43,43,0,05ea,16899,1
44,44,0,05ea,2063,1
45,45,0,05ea,2063,1
46,46,0,05ea,8252,1
47,47,0,05ea,8252,1
48,48,0,05ea,-32525,1
49,49,0,05ea,-32525,1
50,50,0,05ea,975,1
51,51,0,05ea,975,1
52,52,0,05ea,3900,1
53,53,0,05ea,3900,1
54,54,0,05ea,3900,1
55,55,0,05ea,3900,1
56,56,0,05ea,3900,1
57,57,0,05ea,3900,1
58,58,0,05ea,3900,1
59,59,0,05ea,3900,1
60,60,0,05ea,3900,1
61,61,0,05ea,3900,1
62,62,0,05ea,3900,1
63,63,0,05ea,15600,1
64,64,0,05ea,15600,1
65,65,0,05ea,-3135,1
66,66,0,05ea,-3135,1
67,67,0,05ea,-12540,1
68,68,0,05ea,-12540,1
69,69,0,05ea,15377,1
70,70,0,05ea,15377,1
71,71,0,05ea,-4028,1
72,72,0,05ea,-4028,1
73,73,0,05ea,-16109,1
74,74,0,05ea,-16109,1
75,75,0,05ea,1103,1
76,76,0,05ea,1103,1
77,77,0,05ea,4414,1
78,78,0,05ea,4414,1
79,79,0,05ea,4414,1
80,80,0,05ea,4414,1
81,81,0,05ea,4414,1
82,82,0,05ea,4414,1
83,83,0,05ea,4414,1
84,84,0,05ea,4414,1
85,85,0,05ea,4414,1
86,86,0,05ea,4414,1
87,87,0,05ea,4414,1
88,88,0,05ea,17656,1
89,89,0,05ea,17656,1
90,90,0,05ea,5089,1
91,91,0,05ea,5089,1
92,92,0,05ea,20358,1
93,93,0,05ea,20358,1
94,94,0,05ea,15899,1
95,95,0,05ea,15899,1
96,96,0,05ea,-1938,1
97,97,0,05ea,-1938,1
98,98,0,05ea,-7750,1
99,99,0,05ea,-7750,1
100,100,0,05ea,-31000,1
101,101,0,05ea,-31000,1
102,102,0,05ea,7075,1
103,103,0,05ea,7075,1
104,104,0,05ea,7075,1
105,105,0,05ea,7075,1
106,106,0,05ea,7075,1
107,107,0,05ea,7075,1
108,108,0,05ea,7075,1
109,109,0,05ea,7075,1
110,110,0,05ea,7075,1
111,111,0,05ea,7075,1
112,112,0,05ea,7075,1
113,113,0,05ea,28300,1
114,114,0,05ea,28300,1
115,115,0,05ea,-17871,1
116,116,0,05ea,-17871,1
117,117,0,05ea,-5947,1
118,118,0,05ea,-5947,1
119,119,0,05ea,-23788,1
120,120,0,05ea,-23788,1
121,121,0,05ea,-29613,1
122,122,0,05ea,-29613,1
123,123,0,05ea,12621,1
124,124,0,05ea,12621,1
125,125,0,05ea,-15052,1
126,126,0,05ea,-15052,1
127,127,0,05ea,5328,1
128,128,0,05ea,5328,1
129,129,0,05ea,5328,1
130,130,0,05ea,5328,1
131,131,0,05ea,5328,1
132,132,0,05ea,5328,1
133,133,0,05ea,5328,1
134,134,0,05ea,5328,1
135,135,0,05ea,5328,1
136,136,0,05ea,5328,1
137,137,0,05ea,5328,1
138,138,0,05ea,21312,1
139,139,0,05ea,21312,1
140,140,0,05ea,19712,1
141,141,0,05ea,19712,1
142,142,0,05ea,13314,1
143,143,0,05ea,13314,1
144,144,0,05ea,-12280,1
145,145,0,05ea,-12280,1
146,146,0,05ea,16416,1
147,147,0,05ea,16416,1
148,148,0,05ea,128,1
149,149,0,05ea,128,1
150,150,0,05ea,514,1
151,151,0,05ea,514,1
152,152,0,05ea,2058,1
153,153,0,05ea,2058,1
154,154,0,05ea,2058,1
155,155,0,05ea,2058,1
156,156,0,05ea,2058,1
157,157,0,05ea,2058,1
158,158,0,05ea,2058,1
159,159,0,05ea,2058,1
160,160,0,05ea,2058,1
161,161,0,05ea,2058,1
162,162,0,05ea,2058,1
163,163,0,05ea,8232,1
164,164,0,05ea,8232,1
165,165,0,05ea,-32608,1
166,166,0,05ea,-32608,1
167,167,0,05ea,641,1
168,168,0,05ea,641,1
169,169,0,05ea,2564,1
170,170,0,05ea,2564,1
